Ano,Grupo,Quadrilha,Etapa,TotalEtapa
2022,GRUPO DE ACESSO,ELITE DO CERRADO,1ª ETAPA,180.0
2022,GRUPO DE ACESSO,EITA BAGACEIRA,1ª ETAPA,179.60000000000002
2022,GRUPO DE ACESSO,PINGA EM MIM,1ª ETAPA,179.2
2022,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,178.8
2022,GRUPO DE ACESSO,COISAS DA ROÇA,1ª ETAPA,176.6
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,1ª ETAPA,179.10000000000002
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,176.9
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,171.3
2022,GRUPO DE ACESSO,SACA ROLHA,1ª ETAPA,167.89999999999998
2022,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,170.20000000000005
2022,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,172.89999999999998
2022,GRUPO DE ACESSO,FLOR DO MAMULENGO,1ª ETAPA,165.5
2022,GRUPO DE ACESSO,TRISCOU QUEIMOU,1ª ETAPA,166.5
2022,GRUPO DE ACESSO,CAIPIRAS DE FÉ,1ª ETAPA,-0.5
2022,GRUPO DE ACESSO,ELITE DO CERRADO,2ª ETAPA,179.0
2022,GRUPO DE ACESSO,EITA BAGACEIRA,2ª ETAPA,178.4
2022,GRUPO DE ACESSO,PINGA EM MIM,2ª ETAPA,176.7
2022,GRUPO DE ACESSO,CHINELO DE COURO,2ª ETAPA,175.7
2022,GRUPO DE ACESSO,COISAS DA ROÇA,2ª ETAPA,175.89999999999998
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,2ª ETAPA,177.5
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,2ª ETAPA,173.6
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,2ª ETAPA,175.6
2022,GRUPO DE ACESSO,SACA ROLHA,2ª ETAPA,175.5
2022,GRUPO DE ACESSO,MALA VÉIA,2ª ETAPA,173.7
2022,GRUPO DE ACESSO,ESPALHA BRASA,2ª ETAPA,171.2
2022,GRUPO DE ACESSO,FLOR DO MAMULENGO,2ª ETAPA,172.3
2022,GRUPO DE ACESSO,ELITE DO CERRADO,3ª ETAPA,179.6
2022,GRUPO DE ACESSO,EITA BAGACEIRA,3ª ETAPA,176.8
2022,GRUPO DE ACESSO,PINGA EM MIM,3ª ETAPA,178.3
2022,GRUPO DE ACESSO,CHINELO DE COURO,3ª ETAPA,178.9
2022,GRUPO DE ACESSO,COISAS DA ROÇA,3ª ETAPA,178.3
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,3ª ETAPA,173.7
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,3ª ETAPA,173.4
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,3ª ETAPA,177.1
2022,GRUPO DE ACESSO,SACA ROLHA,3ª ETAPA,174.8
2022,GRUPO DE ACESSO,MALA VÉIA,3ª ETAPA,170.2
2022,GRUPO DE ACESSO,ESPALHA BRASA,3ª ETAPA,166.1
