Ano,Grupo,Quadrilha,TotalFinal,RankFinal,EtapasParticipadas,EtapasNoAno,ParticipacaoPct,Status
2022,GRUPO DE ACESSO,ELITE DO CERRADO,718.2,1.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,EITA BAGACEIRA,714.4,2.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,PINGA EM MIM,712.6,3.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,CHINELO DE COURO,712.0,4.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,COISAS DA ROÇA,710.1999999999999,5.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,709.4,6.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,702.0999999999999,7.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,699.2,8.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,SACA ROLHA,695.9000000000001,9.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,MALA VÉIA,692.5,10.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,ESPALHA BRASA,686.5999999999999,11.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,FLOR DO MAMULENGO,678.6,12.0,4,4,1.0,COMPLETA
2022,GRUPO DE ACESSO,TRISCOU QUEIMOU,513.5,13.0,3,4,0.75,PARCIAL
2022,GRUPO DE ACESSO,CAIPIRAS DE FÉ,-0.5,14.0,1,4,0.25,DESCLASS./NÃO APRESENTOU
2023,GRUPO DE ACESSO,MALA VÉIA,895.1,1.0,3,3,1.0,COMPLETA
2023,GRUPO DE ACESSO,CAIPIRADA,892.8,2.0,3,3,1.0,COMPLETA
2023,GRUPO DE ACESSO,XIQUE XIQUE,887.0,3.0,3,3,1.0,COMPLETA
2023,GRUPO DE ACESSO,FORNALHA,885.6999999999999,4.0,3,3,1.0,COMPLETA
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,874.5999999999999,5.0,3,3,1.0,COMPLETA
2023,GRUPO DE ACESSO,TICO TICO NO FUBÁ,591.6,6.0,2,3,0.6666666666666666,PARCIAL
2023,GRUPO DE ACESSO,OXENTE VIXE,292.3,7.0,1,3,0.3333333333333333,PARCIAL
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1185.2,1.0,4,4,1.0,COMPLETA
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1178.0,2.0,4,4,1.0,COMPLETA
2024,GRUPO DE ACESSO,ESPALHA BRASA,1173.1,3.0,4,4,1.0,COMPLETA
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1172.8,4.0,4,4,1.0,COMPLETA
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1166.9,5.0,4,4,1.0,COMPLETA
2024,GRUPO DE ACESSO,CHINELO DE COURO,885.3,6.0,3,4,0.75,PARCIAL
2024,GRUPO DE ACESSO,BAMBOLEÁ,865.0,7.0,3,4,0.75,PARCIAL
2025,GRUPO DE ACESSO,JUNINA MATULÃO,537.6,1.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,CHINELO DE COURO,535.6,2.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,XIQUE XIQUE,535.4,3.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,533.8,4.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,FORNALHA,531.9,5.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,531.8,6.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,531.0,7.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,SOL DE MARIA,528.9,8.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,TENGO LENGO,526.7,9.0,3,3,1.0,COMPLETA
2025,GRUPO DE ACESSO,FURACÃO,345.4,10.0,2,3,0.6666666666666666,PARCIAL
2022,GRUPO ESPECIAL,SI BOBIÁ A GENTE PIMBA,719.3,1.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,719.0,2.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,717.2,3.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,ARROXA O NÓ,716.5,4.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,SABUGO DE MILHO,715.5,5.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,RASGA O FOLE,713.3,6.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,RIBULIÇO,713.0,7.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,711.6,8.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,AMOR JUNINO,710.7,9.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,SANFONA LASCADA,709.8000000000001,10.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,XAMEGAR,708.5,11.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,706.7,12.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,PULA FOGUEIRA,698.8,13.0,4,4,1.0,COMPLETA
2022,GRUPO ESPECIAL,XIQUE XIQUE,530.1,14.0,3,4,0.75,PARCIAL
2023,GRUPO ESPECIAL,FORMIGA DA ROÇA,538.9,1.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,ARROXA O NÓ,538.2,2.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,RIBULIÇO,537.0999999999999,3.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,SANFONA LASCADA,535.3000000000001,4.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,535.1,5.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,RASGA O FOLE,534.8,6.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,AMOR JUNINO,534.8,7.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,EITA BAGACEIRA,534.5999999999999,8.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,XAMEGAR,534.1,9.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,COISAS DA ROÇA,532.6999999999999,10.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,XÉM NHEM NHÉM,532.7,11.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,PINGA EM MIM,532.3,12.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,CHINELO DE COURO,530.5999999999999,13.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,OS CABOCLOS DO SERTÃO,529.7,14.0,3,3,1.0,COMPLETA
2023,GRUPO ESPECIAL,MATINGUEIROS DO SERTÃO,529.5,15.0,3,3,1.0,COMPLETA
2024,GRUPO ESPECIAL,ARROXA O NÓ,839.1,1.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,FORMIGA DA ROÇA,839.1,2.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,RIBULIÇO,836.9,3.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,XAMEGAR,833.9,4.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,MALA VÉIA,831.9,5.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,RASGA O FOLE,831.8,6.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,CAIPIRADA,831.4,7.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,EITA BAGACEIRA,830.9,8.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,AMOR JUNINO,830.8,9.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,830.2,10.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,PINGA EM MIM,829.9,11.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,COISAS DA ROÇA,829.5999999999999,12.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,FORNALHA,826.4000000000001,13.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,XIQUE XIQUE,822.1,14.0,4,4,1.0,COMPLETA
2024,GRUPO ESPECIAL,XÉM NHEM NHÉM,817.5999999999999,15.0,4,4,1.0,COMPLETA
2025,GRUPO ESPECIAL,ARROXA O NÓ,629.2,1.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,FORMIGA DA ROÇA,629.2,2.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,RIBULIÇO,628.4,3.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,RASGA O FOLE,627.6999999999999,4.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,CAIPIRADA,627.4,5.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,PINGA EM MIM,626.6999999999999,6.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,XAMEGAR,626.0,7.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,VAI MAS NÃO VAI,625.8000000000001,8.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,AMOR JUNINO,625.5999999999999,9.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,MALA VÉIA,625.2,10.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,EITA BAGACEIRA,623.7,11.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,622.3,12.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,ESPALHA BRASA,622.3,13.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,COISAS DA ROÇA,621.9000000000001,14.0,3,3,1.0,COMPLETA
2025,GRUPO ESPECIAL,TICO TICO NO FUBÁ,620.5,15.0,3,3,1.0,COMPLETA
