Ano,Grupo,Quadrilha,Etapa,Quesito,NotaQuesitoEtapa
2022,GRUPO DE ACESSO,ELITE DO CERRADO,1ª ETAPA,COREOGRAFIA,30.0
2022,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,COREOGRAFIA,29.8
2022,GRUPO DE ACESSO,EITA BAGACEIRA,1ª ETAPA,COREOGRAFIA,29.900000000000002
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,1ª ETAPA,COREOGRAFIA,29.700000000000006
2022,GRUPO DE ACESSO,PINGA EM MIM,1ª ETAPA,COREOGRAFIA,29.399999999999995
2022,GRUPO DE ACESSO,COISAS DA ROÇA,1ª ETAPA,COREOGRAFIA,28.699999999999996
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,COREOGRAFIA,28.200000000000003
2022,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,COREOGRAFIA,28.7
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,COREOGRAFIA,29.1
2022,GRUPO DE ACESSO,SACA ROLHA,1ª ETAPA,COREOGRAFIA,27.499999999999996
2022,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,COREOGRAFIA,28.299999999999997
2022,GRUPO DE ACESSO,FLOR DO MAMULENGO,1ª ETAPA,COREOGRAFIA,26.9
2022,GRUPO DE ACESSO,TRISCOU QUEIMOU,1ª ETAPA,COREOGRAFIA,28.0
2022,GRUPO DE ACESSO,ELITE DO CERRADO,1ª ETAPA,MARCAÇÃO,30.0
2022,GRUPO DE ACESSO,COISAS DA ROÇA,1ª ETAPA,MARCAÇÃO,29.700000000000003
2022,GRUPO DE ACESSO,EITA BAGACEIRA,1ª ETAPA,MARCAÇÃO,29.899999999999995
2022,GRUPO DE ACESSO,PINGA EM MIM,1ª ETAPA,MARCAÇÃO,30.0
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,1ª ETAPA,MARCAÇÃO,29.9
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,MARCAÇÃO,29.999999999999996
2022,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,MARCAÇÃO,29.5
2022,GRUPO DE ACESSO,SACA ROLHA,1ª ETAPA,MARCAÇÃO,28.9
2022,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,MARCAÇÃO,28.9
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,MARCAÇÃO,28.299999999999997
2022,GRUPO DE ACESSO,FLOR DO MAMULENGO,1ª ETAPA,MARCAÇÃO,28.099999999999998
2022,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,MARCAÇÃO,28.5
2022,GRUPO DE ACESSO,TRISCOU QUEIMOU,1ª ETAPA,MARCAÇÃO,27.500000000000004
2022,GRUPO DE ACESSO,ELITE DO CERRADO,1ª ETAPA,ANIMAÇÃO,30.0
2022,GRUPO DE ACESSO,EITA BAGACEIRA,1ª ETAPA,ANIMAÇÃO,29.999999999999996
2022,GRUPO DE ACESSO,PINGA EM MIM,1ª ETAPA,ANIMAÇÃO,30.000000000000004
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,1ª ETAPA,ANIMAÇÃO,29.999999999999996
2022,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,ANIMAÇÃO,29.999999999999996
2022,GRUPO DE ACESSO,COISAS DA ROÇA,1ª ETAPA,ANIMAÇÃO,29.1
